Item Number,Model,List Price,Size Sort,Size,Width,Height,RefSize,Category,Family,Frame Sort,Frame Type,Frame Color,Glass Type,IG Color,Bulk SKU,Bulk QTY,Bulk List Price,Product URL,Image URL
33011014,0715-CFT,$205.98,,07x15.25,07,15.25,0715,Decorative,Vintage Craftsman,4,Craftsman,White,"1"" Vintage Craftsman",Patina,,,,https://www.odl.com/products/doorglass/0715-cft,https://odl.widen.net/content/8rmteinkbk/jpeg/715CFT_GO_F2.jpeg
33011031,0715-CFT,$242.08,,07x15.25,07,15.25,0715,Decorative,Vintage Craftsman,4,Craftsman,Oak,"1"" Vintage Craftsman",Patina,,,,https://www.odl.com/products/doorglass/0715-cft,https://odl.widen.net/content/8rmteinkbk/jpeg/715CFT_GO_F2.jpeg
33011017,0715-LRL,$195.46,,07x15.25,07,15.25,0715,Decorative,Laurel,4,Craftsman,White,"1"" Laurel",Platinum Nickel,,,,https://www.odl.com/products/doorglass/0715-lrl,https://odl.widen.net/content/vbibjy9h1s/jpeg/715LRLPL_GO_F2.jpeg
33011033,0715-LRL,$231.51,,07x15.25,07,15.25,0715,Decorative,Laurel,4,Craftsman,Oak,"1"" Laurel",Platinum Nickel,,,,https://www.odl.com/products/doorglass/0715-lrl,https://odl.widen.net/content/vbibjy9h1s/jpeg/715LRLPL_GO_F2.jpeg
33011018,0715-PEM,$201.58,,07x15.25,07,15.25,0715,Decorative,Pembrook,4,Craftsman,White,"1"" Pembrook",Patina,,,,https://www.odl.com/products/doorglass/0715-pem,https://odl.widen.net/content/yipbl4knzo/jpeg/820PEM_GO_F1.jpeg
33011034,0715-PEM,$237.61,,07x15.25,07,15.25,0715,Decorative,Pembrook,4,Craftsman,Oak,"1"" Pembrook",Patina,,,,https://www.odl.com/products/doorglass/0715-pem,https://odl.widen.net/content/yipbl4knzo/jpeg/820PEM_GO_F1.jpeg
33009186,0764-CFT,$478.71,17,07x64,07,64,0764,Decorative,Vintage Craftsman,2,Evolve,White,"1"" Vintage Craftsman",Patina,,,,https://www.odl.com/products/doorglass/0764-cft,https://odl.widen.net/content/hr0sbuxdy9/jpeg/523CFTsl_GO_F1.jpeg
33009497,0764-CFT,$548.91,17,07x64,07,64,0764,Decorative,Vintage Craftsman,2,Evolve,Oak,"1"" Vintage Craftsman",Patina,,,,https://www.odl.com/products/doorglass/0764-cft,https://odl.widen.net/content/hr0sbuxdy9/jpeg/523CFTsl_GO_F1.jpeg
33009602,0764-CFT,$478.71,17,07x64,07,64,0764,Decorative,Vintage Craftsman,3,ZEEL,White,"1"" Vintage Craftsman",Patina,,,,https://www.odl.com/products/doorglass/0764-cft,https://odl.widen.net/content/hr0sbuxdy9/jpeg/523CFTsl_GO_F1.jpeg
33009626,0764-EWD,$672.87,17,07x64,07,64,0764,Decorative,Edgewood,3,ZEEL,White,"1"" Edgewood",Patina,,,,https://www.odl.com/products/doorglass/0764-ewd,https://odl.widen.net/content/r5tumwupy5/jpeg/694EWD_GO_FZ.jpeg
